weight,age,height,size
134.48,29,5.33,M
149.91,34,5.58,XXXL
127.87,42,5.58,L
105.82,30,5.25,XXS
123.46,31,5.00,L
119.05,27,5.42,M
134.48,25,5.33,M
154.32,33,5.25,XXXL
136.69,33,5.50,L
123.46,32,5.42,S
123.46,34,5.33,S
103.62,28,5.25,XXS
149.91,37,5.50,XL
127.87,37,5.33,S
134.48,41,5.25,L
123.46,29,5.50,XXS
123.46,33,5.42,M
178.57,38,6.17,XXXL
123.46,25,5.42,XL
134.48,29,5.42,M
143.30,37,5.67,L
158.73,29,5.67,XXXL
138.89,34,5.75,L
149.91,38,5.25,XXXL
101.41,31,5.17,XXS
127.87,40,5.33,M
141.10,27,5.42,M
143.30,19,5.50,L
108.03,31,5.33,S
121.25,43,5.58,S
154.32,31,5.50,XL
158.73,27,5.50,XL
123.46,30,5.25,M
127.87,26,5.33,M
136.69,31,5.50,XL
149.91,30,5.50,XL
138.89,28,5.67,XL
127.87,27,5.25,L
138.89,38,5.25,XL
123.46,26,5.33,M
127.87,30,5.42,S
138.89,24,5.58,M
114.64,50,5.33,S
143.30,31,5.50,XL
154.32,32,5.67,XXXL
127.87,31,5.67,M
147.71,29,5.67,XL
127.87,36,5.33,M
114.64,24,5.25,S
119.05,24,5.00,L
114.64,28,5.33,S
127.87,35,5.58,S
154.32,37,5.58,XXXL
108.03,25,5.42,XXS
136.69,30,5.50,M
163.14,31,5.33,XL
123.46,52,5.17,S
152.12,37,5.50,L
163.14,37,5.58,XXXL
127.87,35,5.25,XXXL
121.25,24,5.75,S
136.69,42,5.33,S
143.30,30,5.50,M
143.30,30,5.42,XXXL
125.66,20,5.58,M
123.46,48,5.42,S
127.87,31,5.58,M
134.48,32,5.58,M
134.48,36,5.75,L
114.64,42,5.33,S
127.87,33,5.42,M
163.14,36,5.75,XXXL
123.46,25,5.50,S
138.89,51,5.33,L
114.64,26,5.17,M
138.89,27,5.42,XL
143.30,29,5.50,L
134.48,34,5.42,M
114.64,55,5.17,M
171.96,37,5.75,XL
114.64,27,5.33,S
149.91,33,5.25,XL
123.46,47,5.25,M
143.30,29,5.67,L
141.10,17,5.33,XL
169.76,48,5.50,XXXL
123.46,32,5.33,S
110.23,31,5.33,XXS
138.89,39,5.17,L
143.30,28,5.67,XL
123.46,43,5.58,XXS
108.03,44,5.08,S
138.89,35,5.58,XL
125.66,35,5.33,M
123.46,20,5.50,M
123.46,26,5.50,M
119.05,28,5.50,M
141.10,27,5.42,M
198.42,39,5.50,XXXL
149.91,37,5.42,XL
123.46,38,5.50,S
119.05,46,5.33,L
123.46,28,5.25,S
138.89,27,5.67,L
134.48,45,5.67,M
103.62,26,5.17,XXS
108.03,26,5.33,S
134.48,29,5.42,XXXL
149.91,28,0.00,XL
127.87,29,5.42,L
105.82,34,5.42,XXS
123.46,29,5.58,S
229.28,34,5.33,XXXL
127.87,32,5.42,M
119.05,28,5.58,M
119.05,47,5.42,M
136.69,33,5.58,M
143.30,28,5.42,XXXL
119.05,49,5.08,M
121.25,33,5.33,M
138.89,25,5.33,XL
127.87,28,5.50,M
105.82,26,5.08,S
114.64,29,5.17,S
134.48,34,5.58,XXXL
119.05,27,5.42,S
119.05,35,5.17,S
138.89,37,5.42,L
123.46,45,5.25,M
134.48,32,5.08,M
149.91,38,5.67,XL
138.89,50,5.83,L
156.53,23,5.33,XXXL
158.73,43,5.58,XXXL
138.89,39,5.75,XL
174.16,31,5.42,XXXL
127.87,41,5.33,XL
121.25,29,5.67,L
189.60,29,5.75,XXXL
158.73,36,5.67,XXXL
119.05,34,5.50,S
121.25,28,5.50,S
114.64,31,5.33,S
143.30,38,5.42,XL
158.73,39,5.25,XXXL
154.32,33,5.58,L
127.87,32,5.25,M
143.30,32,5.50,XXXL
108.03,41,5.08,XXS
108.03,40,5.08,XXXL
143.30,29,5.33,L
105.82,34,5.25,S
194.01,28,5.67,XXXL
119.05,22,5.33,S
132.28,26,5.17,M
116.84,40,5.33,M
116.84,30,5.50,S
116.84,30,5.58,S
123.46,50,5.25,XL
134.48,26,5.33,M
182.98,29,5.08,XXXL
114.64,40,5.17,S
154.32,39,5.25,XXXL
108.03,37,5.50,S
119.05,44,5.42,M
134.48,25,5.42,L
123.46,40,5.25,L
138.89,34,5.25,M
209.44,28,5.50,XXXL
143.30,29,5.25,M
123.46,35,5.50,S
127.87,30,5.67,S
116.84,38,5.17,S
134.48,20,5.42,M
103.62,36,5.25,S
134.48,41,5.50,M
138.89,38,5.42,XL
154.32,37,5.67,L
152.12,25,5.25,XXXL
121.25,23,5.67,S
114.64,33,5.42,XXS
143.30,35,5.25,XL
158.73,36,5.42,XXXL
138.89,55,5.50,XXXL
149.91,36,5.67,XXXL
119.05,33,5.75,XL
149.91,26,5.33,L
123.46,32,5.17,XL
134.48,31,5.17,L
112.44,25,5.33,XXS
112.44,35,5.25,XXS
134.48,26,5.17,L
123.46,50,5.17,M
158.73,46,5.17,XXXL
154.32,28,5.33,L
138.89,37,5.25,XL
116.84,35,5.25,S
202.83,23,6.00,XXXL
163.14,33,5.33,XXXL
171.96,38,5.67,XXXL
138.89,31,5.67,L
119.05,23,5.08,M
116.84,39,5.33,S
119.05,35,5.17,M
108.03,43,5.67,S
121.25,29,5.17,M
127.87,49,5.50,M
158.73,29,5.58,XXXL
138.89,46,5.58,L
123.46,29,5.33,S
114.64,31,5.33,M
103.62,34,4.92,XXS
138.89,60,5.50,XXXL
174.16,33,5.83,XXXL
154.32,24,5.42,XL
143.30,37,5.17,XL
114.64,35,5.50,S
114.64,37,5.33,XXS
127.87,35,5.42,M
114.64,31,5.17,S
134.48,30,5.08,XL
123.46,30,5.42,S
121.25,27,5.58,M
114.64,31,5.42,XXS
119.05,31,5.67,L
132.28,28,5.58,M
108.03,37,5.58,S
134.48,40,5.50,L
149.91,32,5.58,XXXL
134.48,25,5.33,XL
134.48,29,5.42,M
127.87,31,5.17,L
143.30,30,5.58,L
112.44,29,5.33,S
127.87,33,5.00,L
134.48,37,6.08,L
209.44,29,5.58,XXXL
169.76,31,5.67,XXXL
123.46,30,5.50,S
108.03,36,5.17,XXS
132.28,41,5.33,XL
143.30,25,5.92,XXXL
119.05,29,5.08,M
130.07,53,5.17,XL
114.64,29,5.33,S
108.03,26,5.58,S
178.57,30,5.67,XXXL
114.64,31,5.33,S
123.46,37,5.58,M
127.87,34,5.17,S
143.30,36,5.92,S
182.98,22,5.50,XL
158.73,30,5.33,XXXL
127.87,37,5.17,XL
149.91,29,5.75,XL
119.05,29,5.25,S
182.98,35,5.50,XXXL
160.94,45,5.08,XL
158.73,39,5.67,XL
127.87,38,5.17,XL
127.87,33,5.50,L
185.19,30,5.83,XXXL
127.87,37,5.50,L
134.48,27,5.83,M
127.87,31,5.33,XXS
134.48,28,5.58,M
116.84,36,5.42,S
123.46,35,5.42,M
125.66,29,5.33,M
145.50,34,5.75,L
112.44,38,5.17,S
167.55,28,5.75,XL
189.60,33,5.50,XXXL
147.71,33,5.58,XL
116.84,29,5.75,XXS
149.91,36,5.33,XL
141.10,61,5.33,XXXL
143.30,26,5.58,XL
114.64,26,5.50,XXS
138.89,29,5.50,M
127.87,35,5.17,L
127.87,45,5.50,M
143.30,33,5.25,L
127.87,32,5.33,S
154.32,21,5.75,L
138.89,27,5.33,L
154.32,27,5.50,XL
134.48,32,5.58,XL
134.48,26,5.33,S
123.46,,5.42,L
123.46,31,5.25,M
108.03,31,5.67,XXS
134.48,31,5.17,XXXL
97.00,33,5.00,XXS
132.28,25,5.42,L
123.46,28,5.17,M
141.10,58,5.42,M
105.82,35,5.17,S
119.05,26,5.25,S
119.05,36,5.50,S
125.66,26,5.50,M
169.76,51,5.58,XXXL
123.46,32,5.75,S
136.69,32,5.50,M
134.48,29,5.33,M
143.30,30,5.58,L
119.05,30,5.17,S
130.07,26,5.33,L
141.10,28,5.67,M
125.66,31,5.67,M
134.48,34,5.42,L
123.46,28,5.17,S
141.10,32,5.50,XL
108.03,38,5.33,XXS
134.48,26,5.17,M
178.57,31,5.50,XXXL
119.05,35,5.17,M
134.48,32,5.50,XL
134.48,28,5.33,M
143.30,37,5.25,XXXL
127.87,30,5.42,M
163.14,30,5.33,XXXL
121.25,31,5.50,S
119.05,32,5.83,S
108.03,38,5.25,S
127.87,27,5.33,M
127.87,35,5.25,L
105.82,46,5.25,S
114.64,25,5.50,XXXL
163.14,22,5.83,XL
134.48,38,5.67,L
158.73,34,5.33,S
138.89,32,5.67,M
123.46,22,5.33,S
154.32,39,5.42,XL
127.87,38,5.58,M
123.46,57,5.58,M
123.46,36,5.58,M
119.05,25,5.42,S
169.76,51,5.42,XXXL
169.76,35,5.25,XXXL
134.48,37,5.58,L
108.03,22,5.00,S
119.05,45,5.33,M
116.84,19,5.25,S
123.46,38,5.67,S
134.48,25,5.42,XL
123.46,29,5.58,S
143.30,34,5.42,L
127.87,22,5.42,S
143.30,36,5.17,XXXL
138.89,40,5.33,L
125.66,39,5.50,S
149.91,36,5.75,XXXL
134.48,30,5.33,L
123.46,31,5.17,M
127.87,30,5.17,M
119.05,42,5.58,M
127.87,27,5.25,M
169.76,37,5.58,XXXL
218.26,44,5.75,XXXL
127.87,33,5.42,S
134.48,30,5.83,XL
158.73,24,5.67,L
103.62,31,5.00,XXS
189.60,29,5.50,XXXL
163.14,40,5.50,XXXL
158.73,38,5.75,XXXL
163.14,40,5.75,XXXL
143.30,30,5.75,XL
108.03,33,5.58,XXS
127.87,37,5.83,M
116.84,30,5.25,S
119.05,25,5.42,M
182.98,29,6.00,XXXL
163.14,32,5.42,XXXL
138.89,27,5.42,XXXL
143.30,28,5.17,XL
99.21,30,5.33,S
123.46,35,5.33,M
143.30,42,5.50,XL
108.03,31,5.17,S
127.87,36,5.33,M
198.42,47,5.25,XXXL
123.46,28,5.58,S
125.66,40,5.25,M
143.30,24,5.58,M
127.87,31,5.50,L
127.87,32,5.50,S
134.48,43,5.17,XL
123.46,29,5.25,S
103.62,35,5.08,XXS
105.82,40,5.17,S
138.89,28,5.67,M
154.32,29,5.50,XL
119.05,47,5.33,M
169.76,51,5.17,XXXL
119.05,31,5.08,S
119.05,29,5.42,XXS
127.87,23,5.08,M
136.69,34,5.58,L
141.10,31,5.17,XXXL
127.87,28,5.58,M
99.21,25,5.58,XXS
105.82,35,5.17,XXS
121.25,28,5.25,L
119.05,29,5.08,S
134.48,36,5.33,XL
198.42,33,5.67,L
125.66,27,5.58,L
123.46,39,5.42,S
224.87,27,5.58,XXXL
154.32,58,5.58,XXXL
149.91,28,5.83,XL
134.48,46,5.42,M
143.30,38,5.33,L
127.87,27,5.17,M
154.32,28,5.33,XXXL
174.16,29,5.17,XXXL
149.91,34,5.33,L
108.03,24,5.50,S
127.87,36,5.17,XL
149.91,32,5.92,XL
127.87,33,5.33,L
171.96,33,5.83,XL
121.25,24,5.58,M
130.07,34,5.33,M
123.46,21,5.25,S
132.28,26,5.17,S
127.87,30,5.17,L
127.87,30,5.75,S
169.76,41,5.50,XXXL
138.89,32,5.58,L
123.46,33,5.33,M
143.30,26,5.25,M
125.66,26,5.33,M
94.80,34,4.83,XXS
123.46,26,5.08,S
116.84,53,5.25,M
141.10,37,5.50,L
198.42,32,5.42,XXXL
134.48,25,5.25,M
158.73,58,5.17,XXXL
178.57,31,5.50,XXXL
119.05,25,5.25,M
202.83,38,5.17,XXXL
105.82,38,5.50,XXS
154.32,36,5.42,XL
114.64,32,5.00,XXS
114.64,33,5.17,M
123.46,37,5.75,M
163.14,31,5.25,XXXL
123.46,31,5.33,S
134.48,43,5.42,XXXL
127.87,38,5.50,M
119.05,23,5.33,XXS
123.46,31,5.17,S
123.46,26,5.42,XL
138.89,35,5.58,L
125.66,30,5.33,S
134.48,27,5.83,S
134.48,31,5.67,M
138.89,52,5.42,XL
138.89,35,5.25,XL
88.18,19,5.25,XXS
154.32,48,5.75,XXXL
154.32,33,5.50,XXXL
149.91,30,5.58,XXXL
138.89,30,5.42,L
101.41,36,4.92,XXS
123.46,38,5.58,S
134.48,48,5.58,XL
134.48,30,5.58,XL
119.05,47,5.33,XXS
143.30,28,5.42,XL
127.87,30,5.42,S
143.30,29,5.67,L
127.87,29,5.42,L
143.30,29,5.42,M
121.25,29,5.25,S
149.91,31,5.42,XL
154.32,31,5.83,XL
138.89,28,5.50,L
123.46,29,5.67,M
132.28,37,5.50,S
114.64,28,5.33,S
134.48,33,5.42,M
99.21,29,4.83,XXS
174.16,36,5.75,XXXL
158.73,23,6.08,XL
103.62,40,5.00,S
149.91,26,5.83,M
134.48,31,5.33,XL
127.87,23,5.67,S
141.10,29,5.50,L
138.89,37,5.58,XL
121.25,29,5.08,M
127.87,37,5.58,M
127.87,30,5.25,M
134.48,30,5.58,M
127.87,39,5.17,XL
189.60,37,5.50,XXXL
121.25,33,5.50,M
119.05,47,5.25,L
114.64,35,5.50,S
127.87,30,5.42,M
149.91,27,5.50,XL
116.84,37,5.17,S
134.48,30,5.42,XL
174.16,33,5.75,XXXL
125.66,37,5.25,M
147.71,26,5.58,M
123.46,32,5.42,S
127.87,32,5.00,XL
158.73,32,5.50,XXXL
149.91,31,5.67,M
154.32,41,5.58,XXXL
154.32,32,5.58,XXXL
149.91,30,5.17,XL
119.05,25,5.33,M
119.05,38,5.67,M
119.05,27,5.75,XXS
123.46,22,5.42,L
130.07,28,0.00,M
114.64,25,5.25,XXS
125.66,34,5.33,XL
119.05,29,5.50,XL
116.84,32,5.58,M
138.89,28,5.25,M
156.53,28,5.67,XL
163.14,23,5.92,L
169.76,36,5.75,XXXL
134.48,30,5.75,M
114.64,44,5.50,S
143.30,53,5.83,XL
143.30,47,5.58,XL
134.48,34,5.75,M
127.87,31,5.58,M
158.73,28,5.25,XXXL
123.46,35,5.42,M
143.30,27,5.50,M
209.44,33,5.42,XXXL
174.16,39,5.50,XXXL
127.87,31,5.50,XXXL
119.05,20,5.83,S
121.25,40,5.42,M
123.46,28,5.42,XL
189.60,27,0.00,XXXL
143.30,24,5.17,XL
134.48,33,5.25,M
189.60,49,5.67,XXXL
134.48,43,5.58,M
125.66,45,5.25,XL
149.91,49,5.33,XL
110.23,57,5.33,S
127.87,30,5.25,S
141.10,28,5.75,XL
143.30,31,5.75,L
101.41,42,5.08,M
143.30,31,5.75,XL
123.46,25,5.08,M
143.30,29,5.42,XL
211.64,56,5.42,XXXL
119.05,38,5.08,S
147.71,46,5.42,XXXL
149.91,29,5.17,XL
138.89,36,5.58,M
136.69,32,5.67,L
127.87,46,5.33,L
130.07,33,5.50,M
114.64,29,5.33,XXS
163.14,31,5.33,XL
149.91,42,5.42,XL
127.87,30,5.50,M
143.30,34,5.33,XXXL
123.46,35,5.33,XXXL
238.10,29,5.25,XXXL
99.21,49,5.33,XXS
119.05,35,5.17,M
119.05,32,5.17,XXS
165.35,35,5.25,L
136.69,30,5.58,S
114.64,25,5.67,XXS
116.84,27,5.08,S
138.89,29,5.25,XL
160.94,28,5.92,XXXL
114.64,37,5.00,S
158.73,28,5.25,XL
123.46,26,5.50,M
123.46,27,5.25,S
116.84,34,5.33,M
134.48,34,5.17,L
189.60,39,5.58,XXXL
123.46,55,5.50,M
169.76,31,5.58,XL
134.48,30,5.25,M
136.69,34,5.50,L
127.87,32,5.50,M
138.89,26,5.58,XL
103.62,30,5.25,XXS
99.21,29,5.25,XXS
149.91,31,5.58,XL
182.98,36,5.42,XXXL
108.03,33,5.00,S
138.89,44,5.50,XL
119.05,51,5.33,XXS
213.85,34,5.50,XXXL
138.89,29,5.67,M
123.46,35,5.50,M
121.25,38,5.58,M
114.64,33,5.17,M
158.73,35,5.50,XXXL
134.48,30,5.58,S
138.89,34,5.17,XL
123.46,31,5.25,M
123.46,32,5.25,M
94.80,19,5.25,XXS
158.73,32,5.83,XL
127.87,28,5.50,L
141.10,32,5.67,XL
149.91,28,5.67,L
134.48,42,5.42,M
127.87,32,5.33,S
154.32,31,5.42,XL
127.87,26,5.17,M
149.91,31,5.50,XXXL
158.73,36,5.50,XL
123.46,24,5.42,XL
114.64,28,5.58,S
